Gene,Score
white,0.259266
white,0.299266
white,0.259266
white,0.219266
white,0.259266
white,0.219266
white,0.579266
white,0.619266
white,0.579266
yellow,0.568254
yellow,0.528254
yellow,0.568254
yellow,0.488254
yellow,0.448254
yellow,0.488254
yellow,0.368254
yellow,0.328254
yellow,0.368254
Notch,0.369148
Notch,0.329148
Notch,0.329148
Notch,0.449148
Notch,0.409148
Notch,0.409148
Notch,0.649148
Notch,0.609148
Notch,0.609148
Delta,0.560667
Delta,0.540667
Delta,0.560667
Delta,0.680667
Delta,0.660667
Delta,0.680667
Delta,0.400667
Delta,0.380667
Delta,0.400667
wingless,0.596853
wingless,0.596853
wingless,0.596853
wingless,0.556853
wingless,0.556853
wingless,0.556853
wingless,0.356853
wingless,0.356853
wingless,0.356853
hedgehog,0.419446
hedgehog,0.419446
hedgehog,0.379446
hedgehog,0.539446
hedgehog,0.539446
hedgehog,0.499446
hedgehog,0.659446
hedgehog,0.659446
hedgehog,0.619446
engrailed,0.83184
engrailed,0.77184
engrailed,0.83184
engrailed,0.83184
engrailed,0.77184
engrailed,0.83184
engrailed,0.79184
engrailed,0.73184
engrailed,0.79184
Act5C,0.45056
Act5C,0.45056
Act5C,0.39056
Act5C,0.49056
Act5C,0.49056
Act5C,0.43056
Act5C,0.49056
Act5C,0.49056
Act5C,0.43056
tub,0.607059
tub,0.507059
tub,0.587059
tub,0.447059
tub,0.347059
tub,0.427059
tub,0.607059
tub,0.507059
tub,0.587059
Rpl32,0.592112
Rpl32,0.632112
Rpl32,0.572112
Rpl32,0.592112
Rpl32,0.632112
Rpl32,0.572112
Rpl32,0.472112
Rpl32,0.512112
Rpl32,0.452112
even-skipped,0.631326
even-skipped,0.631326
even-skipped,0.651326
even-skipped,0.551326
even-skipped,0.551326
even-skipped,0.571326
even-skipped,0.631326
even-skipped,0.631326
even-skipped,0.651326
fushi-tarazu,0.523714
fushi-tarazu,0.503714
fushi-tarazu,0.483714
fushi-tarazu,0.523714
fushi-tarazu,0.503714
fushi-tarazu,0.483714
fushi-tarazu,0.483714
fushi-tarazu,0.463714
fushi-tarazu,0.443714
giant,0.650215
giant,0.610215
giant,0.650215
giant,0.650215
giant,0.610215
giant,0.650215
giant,0.450215
giant,0.410215
giant,0.450215
hunchback,0.437248
hunchback,0.457248
hunchback,0.437248
hunchback,0.597248
hunchback,0.617248
hunchback,0.597248
hunchback,0.397248
hunchback,0.417248
hunchback,0.397248
white,0.38
white,0.42
white,0.38
white,0.34
white,0.38
white,0.34
white,0.7
white,0.74
white,0.7
yellow,0.657549
yellow,0.617549
yellow,0.657549
yellow,0.577549
yellow,0.537549
yellow,0.577549
yellow,0.457549
yellow,0.417549
yellow,0.457549
Notch,0.313047
Notch,0.273047
Notch,0.273047
Notch,0.393047
Notch,0.353047
Notch,0.353047
Notch,0.593047
Notch,0.553047
Notch,0.553047
Delta,0.6
Delta,0.58
Delta,0.6
Delta,0.72
Delta,0.7
Delta,0.72
Delta,0.44
Delta,0.42
Delta,0.44
wingless,0.756842
wingless,0.756842
wingless,0.756842
wingless,0.716842
wingless,0.716842
wingless,0.716842
wingless,0.516842
wingless,0.516842
wingless,0.516842
hedgehog,0.4674
hedgehog,0.4674
hedgehog,0.4274
hedgehog,0.5874
hedgehog,0.5874
hedgehog,0.5474
hedgehog,0.7074
hedgehog,0.7074
hedgehog,0.6674
engrailed,0.6375
engrailed,0.5775
engrailed,0.6375
engrailed,0.6375
engrailed,0.5775
engrailed,0.6375
engrailed,0.5975
engrailed,0.5375
engrailed,0.5975
Act5C,0.746667
Act5C,0.746667
Act5C,0.686667
Act5C,0.786667
Act5C,0.786667
Act5C,0.726667
Act5C,0.786667
Act5C,0.786667
Act5C,0.726667
tub,0.631385
tub,0.531385
tub,0.611385
tub,0.471385
tub,0.371385
tub,0.451385
tub,0.631385
tub,0.531385
tub,0.611385
Rpl32,0.612718
Rpl32,0.652718
Rpl32,0.592718
Rpl32,0.612718
Rpl32,0.652718
Rpl32,0.592718
Rpl32,0.492718
Rpl32,0.532718
Rpl32,0.472718
even-skipped,0.579355
even-skipped,0.579355
even-skipped,0.599355
even-skipped,0.499355
even-skipped,0.499355
even-skipped,0.519355
even-skipped,0.579355
even-skipped,0.579355
even-skipped,0.599355
fushi-tarazu,0.555888
fushi-tarazu,0.535888
fushi-tarazu,0.515888
fushi-tarazu,0.555888
fushi-tarazu,0.535888
fushi-tarazu,0.515888
fushi-tarazu,0.515888
fushi-tarazu,0.495888
fushi-tarazu,0.475888
giant,0.63408
giant,0.59408
giant,0.63408
giant,0.63408
giant,0.59408
giant,0.63408
giant,0.43408
giant,0.39408
giant,0.43408
hunchback,0.473444
hunchback,0.493444
hunchback,0.473444
hunchback,0.633444
hunchback,0.653444
hunchback,0.633444
hunchback,0.433444
hunchback,0.453444
hunchback,0.433444
white,0.253488
white,0.293488
white,0.253488
white,0.213488
white,0.253488
white,0.213488
white,0.573488
white,0.613488
white,0.573488
yellow,0.708373
yellow,0.668373
yellow,0.708373
yellow,0.628373
yellow,0.588373
yellow,0.628373
yellow,0.508373
yellow,0.468373
yellow,0.508373
Notch,0.7
Notch,0.66
Notch,0.66
Notch,0.78
Notch,0.74
Notch,0.74
Notch,0.98
Notch,0.94
Notch,0.94
Delta,0.511489
Delta,0.491489
Delta,0.511489
Delta,0.631489
Delta,0.611489
Delta,0.631489
Delta,0.351489
Delta,0.331489
Delta,0.351489
wingless,0.76087
wingless,0.76087
wingless,0.76087
wingless,0.72087
wingless,0.72087
wingless,0.72087
wingless,0.52087
wingless,0.52087
wingless,0.52087
hedgehog,0.39744
hedgehog,0.39744
hedgehog,0.35744
hedgehog,0.51744
hedgehog,0.51744
hedgehog,0.47744
hedgehog,0.63744
hedgehog,0.63744
hedgehog,0.59744
engrailed,0.740544
engrailed,0.680544
engrailed,0.740544
engrailed,0.740544
engrailed,0.680544
engrailed,0.740544
engrailed,0.700544
engrailed,0.640544
engrailed,0.700544
Act5C,0.434272
Act5C,0.434272
Act5C,0.374272
Act5C,0.474272
Act5C,0.474272
Act5C,0.414272
Act5C,0.474272
Act5C,0.474272
Act5C,0.414272
tub,0.793214
tub,0.693214
tub,0.773214
tub,0.633214
tub,0.533214
tub,0.613214
tub,0.793214
tub,0.693214
tub,0.773214
Rpl32,0.79232
Rpl32,0.83232
Rpl32,0.77232
Rpl32,0.79232
Rpl32,0.83232
Rpl32,0.77232
Rpl32,0.67232
Rpl32,0.71232
Rpl32,0.65232
even-skipped,0.96
even-skipped,0.96
even-skipped,0.98
even-skipped,0.88
even-skipped,0.88
even-skipped,0.9
even-skipped,0.96
even-skipped,0.96
even-skipped,0.98
fushi-tarazu,0.669412
fushi-tarazu,0.649412
fushi-tarazu,0.629412
fushi-tarazu,0.669412
fushi-tarazu,0.649412
fushi-tarazu,0.629412
fushi-tarazu,0.629412
fushi-tarazu,0.609412
fushi-tarazu,0.589412
giant,0.631111
giant,0.591111
giant,0.631111
giant,0.631111
giant,0.591111
giant,0.631111
giant,0.431111
giant,0.391111
giant,0.431111
hunchback,0.464235
hunchback,0.484235
