Gene,Label
GENE_9491,1
GENE_10303,1
GENE_15048,1
GENE_10304,1
GENE_15049,1
GENE_17688,1
GENE_10302,1
GENE_17665,1
GENE_17662,1
GENE_17654,1
GENE_5495,1
GENE_17664,1
GENE_17549,1
GENE_14342,1
GENE_14917,1
GENE_17477,1
GENE_17626,1
GENE_17637,1
GENE_1699,1
GENE_17709,1
GENE_17693,1
GENE_11491,1
GENE_15083,1
GENE_7012,1
GENE_5497,1
GENE_5498,1
GENE_15805,1
GENE_17648,1
GENE_3140,1
GENE_14849,1
GENE_270,1
GENE_6962,1
GENE_17386,1
GENE_17310,1
GENE_17672,1
GENE_4872,1
GENE_5496,1
GENE_7583,1
GENE_17440,1
GENE_6048,1
GENE_17652,1
GENE_15059,1
GENE_17841,1
GENE_14964,1
GENE_12437,1
GENE_9089,1
GENE_17674,1
GENE_17632,1
GENE_3654,1
GENE_17437,1
GENE_12617,1
GENE_16300,1
GENE_14376,1
GENE_2025,1
GENE_4066,1
GENE_17669,1
GENE_1783,1
GENE_15413,1
GENE_9643,1
GENE_4344,1
GENE_2134,1
GENE_9860,1
GENE_3081,1
GENE_7956,1
GENE_5493,1
GENE_2492,1
GENE_5376,1
GENE_6374,1
GENE_15036,1
GENE_576,1
GENE_5357,1
GENE_5847,1
GENE_14979,1
GENE_17574,1
GENE_15757,1
GENE_9004,1
GENE_7939,1
GENE_2748,1
GENE_14245,1
GENE_9145,1
GENE_2733,1
GENE_13886,1
GENE_8073,1
GENE_5768,1
GENE_7427,1
GENE_6430,1
GENE_977,1
GENE_5680,1
GENE_11216,1
GENE_10106,1
GENE_3513,1
GENE_17609,1
GENE_8659,1
GENE_17363,1
GENE_7709,1
GENE_17719,1
GENE_734,1
GENE_14670,1
GENE_6246,1
GENE_8661,1
GENE_4415,1
GENE_11620,1
GENE_17598,1
GENE_17698,1
GENE_8193,1
GENE_17622,1
GENE_17553,1
GENE_7000,1
GENE_17595,1
GENE_10214,1
GENE_2213,1
GENE_4833,1
GENE_5255,1
GENE_16302,1
GENE_8383,1
GENE_235,1
GENE_12303,1
GENE_17454,1
GENE_7814,1
GENE_8501,1
GENE_12645,1
GENE_6386,1
GENE_2838,1
GENE_9158,1
GENE_4763,1
GENE_5893,1
GENE_3044,1
GENE_15573,1
GENE_14569,1
GENE_1264,1
GENE_14909,1
GENE_8714,1
GENE_7658,1
GENE_4865,1
GENE_1197,1
GENE_1787,1
GENE_2110,1
GENE_17712,1
GENE_6669,1
GENE_6892,1
GENE_8924,1
GENE_17619,1
GENE_875,1
GENE_17567,1
GENE_2810,1
GENE_8552,1
GENE_12819,1
GENE_1616,1
GENE_17528,1
GENE_8533,1
GENE_12190,1
GENE_1817,1
GENE_5826,1
GENE_9509,1
GENE_9189,1
GENE_3929,1
GENE_13388,1
GENE_4807,1
GENE_1385,1
GENE_770,1
GENE_11387,1
GENE_5936,1
GENE_7611,1
GENE_883,1
GENE_1657,1
GENE_17700,1
GENE_5333,1
GENE_5564,1
GENE_13515,1
GENE_5627,1
GENE_17713,1
GENE_9144,1
GENE_10682,1
GENE_7539,1
GENE_17289,1
GENE_1003,1
GENE_13809,1
GENE_2944,1
GENE_17573,1
GENE_12805,1
GENE_17426,1
GENE_3863,1
GENE_12841,1
GENE_9378,1
GENE_14466,1
GENE_11149,1
GENE_17485,1
GENE_6105,1
GENE_7157,1
GENE_17450,1
GENE_6243,1
GENE_17591,1
GENE_17630,1
GENE_10262,1
GENE_1445,1
GENE_6623,1
GENE_15255,1
GENE_4033,1
GENE_17583,1
GENE_16369,1
GENE_10804,1
GENE_15909,1
GENE_17347,1
GENE_129,1
GENE_9119,1
GENE_970,1
GENE_7999,1
GENE_13586,1
GENE_8899,1
GENE_13096,1
GENE_723,1
GENE_16080,1
GENE_2877,1
GENE_12603,1
GENE_7535,1
GENE_15008,1
GENE_13418,1
GENE_1311,1
GENE_7358,1
GENE_2771,1
GENE_12847,1
GENE_17571,1
GENE_8750,1
GENE_17292,1
GENE_2299,1
GENE_3249,1
GENE_16836,1
GENE_8266,1
GENE_1259,1
GENE_10610,1
GENE_17586,1
GENE_5536,1
GENE_16564,1
GENE_3457,1
GENE_5484,1
GENE_10606,1
GENE_2897,1
GENE_17592,1
GENE_5174,1
GENE_6674,1
GENE_15210,1
GENE_5739,1
GENE_17447,1
GENE_14025,1
GENE_8006,1
GENE_8320,1
GENE_8075,1
GENE_10390,1
GENE_13893,1
GENE_7943,1
GENE_7296,1
GENE_17580,1
GENE_2692,1
GENE_12237,1
GENE_17575,1
GENE_17714,1
GENE_4879,1
GENE_11412,1
GENE_4564,1
GENE_9612,1
GENE_8384,1
GENE_14798,1
GENE_5338,1
GENE_16763,1
GENE_6728,1
GENE_15187,1
GENE_12798,1
GENE_10405,1
GENE_17521,1
GENE_5592,1
GENE_10916,1
GENE_17638,1
GENE_3598,1
GENE_1429,1
GENE_8522,1
GENE_17107,1
GENE_283,1
GENE_15975,1
GENE_4067,1
GENE_16052,1
GENE_9574,1
GENE_10799,1
GENE_3909,1
GENE_4395,1
GENE_13876,1
GENE_11603,1
GENE_945,1
GENE_17621,1
GENE_6839,1
GENE_1307,1
GENE_8165,1
GENE_8697,1
GENE_3461,1
GENE_16506,1
GENE_5524,1
GENE_7359,1
GENE_5673,1
GENE_14408,1
GENE_3726,1
GENE_3680,1
