Gene,Score
GENE_1,0.299671
GENE_2,0.236174
GENE_5,0.314769
GENE_6,0.402303
GENE_7,0.226585
GENE_9,0.226586
GENE_10,0.407921
GENE_11,0.326743
GENE_12,0.203053
GENE_13,0.304256
GENE_14,0.203658
GENE_15,0.203427
GENE_16,0.274196
GENE_17,0.058672
GENE_18,0.077508
GENE_19,0.193771
GENE_20,0.148717
GENE_21,0.281425
GENE_22,0.159198
GENE_23,0.10877
GENE_24,0.396565
GENE_25,0.227422
GENE_26,0.256753
GENE_27,0.107525
GENE_28,0.195562
GENE_29,0.261092
GENE_30,0.134901
GENE_31,0.28757
GENE_33,0.189936
GENE_34,0.220831
GENE_35,0.189829
GENE_37,0.435228
GENE_38,0.24865
GENE_39,0.144229
GENE_40,0.332254
GENE_41,0.127916
GENE_42,0.270886
GENE_43,0.054033
GENE_44,0.117181
GENE_45,0.269686
GENE_47,0.323847
GENE_48,0.267137
GENE_49,0.238435
GENE_50,0.21989
GENE_51,0.102148
GENE_52,0.178016
GENE_53,0.203936
GENE_55,0.355712
GENE_57,0.284362
GENE_58,0.073696
GENE_60,0.282408
GENE_61,0.211492
GENE_63,0.182308
GENE_64,0.311168
GENE_65,0.3531
GENE_66,0.343128
GENE_67,0.166078
GENE_68,0.219079
GENE_69,0.283126
GENE_70,0.347555
GENE_71,0.202083
GENE_73,0.231434
GENE_74,0.139367
GENE_75,0.130379
GENE_76,0.331253
GENE_77,0.385624
GENE_78,0.242799
GENE_79,0.350353
GENE_80,0.286164
GENE_81,0.185488
GENE_82,0.28614
GENE_83,0.403804
GENE_84,0.246417
GENE_85,0.406464
GENE_86,0.01
GENE_87,0.33219
GENE_89,0.258705
GENE_90,0.220099
GENE_92,0.259176
GENE_93,0.051243
GENE_94,0.228033
GENE_95,0.285711
GENE_96,0.397789
GENE_97,0.198173
GENE_98,0.169151
GENE_99,0.199824
GENE_100,0.34154
GENE_101,0.282875
GENE_103,0.197024
GENE_104,0.301327
GENE_105,0.259708
GENE_106,0.346864
GENE_107,0.179795
GENE_108,0.217234
GENE_109,0.210789
GENE_111,0.103649
GENE_112,0.279612
GENE_113,0.276106
GENE_114,0.250511
GENE_115,0.226541
GENE_116,0.108463
GENE_117,0.207935
GENE_118,0.215729
GENE_119,0.169772
GENE_120,0.233871
GENE_121,0.290405
GENE_122,0.438619
GENE_123,0.267458
GENE_124,0.275755
GENE_125,0.242555
GENE_126,0.058123
GENE_127,0.247349
GENE_128,0.256023
GENE_129,0.496324
GENE_130,0.230764
GENE_132,0.280155
GENE_133,0.246529
GENE_134,0.133132
GENE_135,0.364282
GENE_136,0.325193
GENE_137,0.329103
GENE_138,0.159061
GENE_139,0.390279
GENE_140,0.109815
GENE_141,0.308686
GENE_142,0.469046
GENE_143,0.150946
GENE_144,0.19337
GENE_145,0.259965
GENE_146,0.199652
GENE_147,0.094934
GENE_148,0.256856
GENE_149,0.14377
GENE_150,0.297359
GENE_151,0.158058
GENE_152,0.404993
