Gene,Score
GENE_9491,1.0
GENE_10303,1.0
GENE_15048,0.951721
GENE_10304,0.944497
GENE_15049,0.944389
GENE_17688,0.928727
GENE_10302,0.907759
GENE_17665,0.845872
GENE_17662,0.825162
GENE_17654,0.810418
GENE_5495,0.780804
GENE_17664,0.772338
GENE_17549,0.754192
GENE_14342,0.742277
GENE_14917,0.731476
GENE_17477,0.724959
GENE_17626,0.714042
GENE_17637,0.696211
GENE_1699,0.68524
GENE_17709,0.682417
GENE_17693,0.669804
GENE_11491,0.663239
GENE_15083,0.662531
GENE_7012,0.662478
GENE_5497,0.657624
GENE_5498,0.654659
GENE_15805,0.648531
GENE_17648,0.643599
GENE_3140,0.642624
GENE_14849,0.639845
GENE_270,0.635273
GENE_6962,0.63247
GENE_17386,0.630409
GENE_17310,0.630233
GENE_17672,0.625409
GENE_4872,0.616205
GENE_5496,0.615193
GENE_7583,0.602906
GENE_17440,0.598523
GENE_6048,0.595984
GENE_17652,0.594175
GENE_15059,0.592891
GENE_17841,0.591218
GENE_14964,0.588579
GENE_12437,0.587777
GENE_9089,0.587738
GENE_17674,0.586803
GENE_17632,0.585759
GENE_3654,0.58072
GENE_17437,0.579675
GENE_12617,0.578776
GENE_16300,0.578572
GENE_14376,0.578412
GENE_2025,0.577531
GENE_4066,0.574309
GENE_17669,0.571512
GENE_1783,0.569311
GENE_15413,0.568657
GENE_9643,0.565777
GENE_4344,0.565206
GENE_2134,0.563775
GENE_9860,0.562682
GENE_3081,0.562596
GENE_7956,0.561768
GENE_5493,0.561291
GENE_2492,0.560992
GENE_5376,0.560952
GENE_6374,0.55983
GENE_15036,0.559659
GENE_576,0.557888
GENE_5357,0.557686
GENE_5847,0.557373
GENE_14979,0.554069
GENE_17574,0.553785
GENE_15757,0.551629
GENE_9004,0.549281
GENE_7939,0.54896
GENE_2748,0.548526
GENE_14245,0.546951
GENE_9145,0.545384
GENE_2733,0.544909
GENE_13886,0.544525
GENE_8073,0.544305
GENE_5768,0.543566
GENE_7427,0.543541
GENE_6430,0.542727
GENE_977,0.54205
GENE_5680,0.541817
GENE_11216,0.541411
GENE_10106,0.539784
GENE_3513,0.53684
GENE_17609,0.536585
GENE_8659,0.536521
GENE_17363,0.535972
GENE_7709,0.535345
GENE_17719,0.535109
GENE_734,0.534542
GENE_14670,0.534259
GENE_6246,0.532433
GENE_8661,0.532422
GENE_4415,0.531465
GENE_11620,0.530137
GENE_17598,0.530113
GENE_17698,0.529399
GENE_8193,0.529221
GENE_17622,0.529043
GENE_17553,0.528374
GENE_7000,0.527996
GENE_17595,0.52717
GENE_10214,0.526837
GENE_2213,0.525966
GENE_4833,0.52554
GENE_5255,0.525522
GENE_16302,0.523596
GENE_8383,0.522191
GENE_235,0.522017
GENE_12303,0.521482
GENE_17454,0.521164
GENE_7814,0.521079
GENE_8501,0.521033
GENE_12645,0.52075
GENE_6386,0.520303
GENE_2838,0.520008
GENE_9158,0.519833
GENE_4763,0.519548
GENE_5893,0.519331
GENE_3044,0.519303
GENE_15573,0.519032
GENE_14569,0.518913
GENE_1264,0.518703
GENE_14909,0.517963
GENE_8714,0.51711
GENE_7658,0.516691
GENE_4865,0.514967
GENE_1197,0.514877
GENE_1787,0.514845
GENE_2110,0.514434
GENE_17712,0.51433
GENE_6669,0.514201
GENE_6892,0.513788
GENE_8924,0.513667
GENE_17619,0.513296
GENE_875,0.513238
GENE_17567,0.512774
GENE_2810,0.512079
GENE_8552,0.510686
GENE_12819,0.510248
GENE_1616,0.510168
GENE_17528,0.510122
GENE_8533,0.509882
GENE_12190,0.509296
GENE_1817,0.508956
GENE_5826,0.508791
GENE_9509,0.508598
GENE_9189,0.508357
GENE_3929,0.508198
GENE_13388,0.508029
GENE_4807,0.508006
GENE_1385,0.507971
GENE_770,0.507336
GENE_11387,0.507275
GENE_5936,0.5072
GENE_7611,0.50605
GENE_883,0.506008
GENE_1657,0.50582
GENE_17700,0.505505
GENE_5333,0.504901
GENE_5564,0.504691
GENE_13515,0.504605
GENE_5627,0.503938
GENE_17713,0.503639
GENE_9144,0.503266
GENE_10682,0.503037
GENE_7539,0.502993
GENE_17289,0.50287
GENE_1003,0.502693
GENE_13809,0.502451
GENE_2944,0.502371
GENE_17573,0.50237
GENE_12805,0.502337
GENE_17426,0.501683
GENE_3863,0.501156
GENE_12841,0.500831
GENE_9378,0.500545
GENE_14466,0.500324
GENE_11149,0.500317
GENE_17485,0.500187
GENE_6105,0.50009
GENE_7157,0.499843
GENE_17450,0.499795
GENE_6243,0.499742
GENE_17591,0.499646
GENE_17630,0.499639
GENE_10262,0.499517
GENE_1445,0.4993
GENE_6623,0.499218
GENE_15255,0.499185
GENE_4033,0.498519
GENE_17583,0.498457
GENE_16369,0.498065
GENE_10804,0.497651
GENE_15909,0.497193
GENE_17347,0.496609
GENE_129,0.496324
GENE_9119,0.495987
GENE_970,0.49553
GENE_7999,0.495237
GENE_13586,0.494859
GENE_8899,0.494751
GENE_13096,0.494577
GENE_723,0.494575
GENE_16080,0.494179
GENE_2877,0.494131
GENE_12603,0.494126
GENE_7535,0.494122
GENE_15008,0.494092
GENE_13418,0.493987
GENE_1311,0.493975
GENE_7358,0.493606
GENE_2771,0.492672
GENE_12847,0.492618
GENE_17571,0.492217
GENE_8750,0.491878
GENE_17292,0.491836
GENE_2299,0.491262
GENE_3249,0.491168
GENE_16836,0.491164
GENE_8266,0.490484
GENE_1259,0.490342
GENE_10610,0.490158
GENE_17586,0.489585
GENE_5536,0.489436
GENE_16564,0.489301
GENE_3457,0.489295
GENE_5484,0.489211
GENE_10606,0.489188
GENE_2897,0.489025
GENE_17592,0.488894
GENE_5174,0.488837
GENE_6674,0.488797
GENE_15210,0.48846
GENE_5739,0.488171
GENE_17447,0.487566
GENE_14025,0.487447
GENE_8006,0.487399
GENE_8320,0.487279
GENE_8075,0.486929
GENE_10390,0.48688
GENE_13893,0.486833
GENE_7943,0.486741
GENE_7296,0.486541
GENE_17580,0.486536
GENE_2692,0.486387
GENE_12237,0.485961
GENE_17575,0.485494
GENE_17714,0.485134
GENE_4879,0.485008
GENE_11412,0.484911
GENE_4564,0.484908
GENE_9612,0.484562
GENE_8384,0.484446
GENE_14798,0.484405
GENE_5338,0.484365
GENE_16763,0.484286
GENE_6728,0.483783
GENE_15187,0.483304
GENE_12798,0.483302
GENE_10405,0.482684
GENE_17521,0.482522
GENE_5592,0.482467
GENE_10916,0.482261
GENE_17638,0.482097
GENE_3598,0.482004
GENE_1429,0.481933
GENE_8522,0.481764
GENE_17107,0.481752
GENE_283,0.481466
GENE_15975,0.481204
GENE_4067,0.480792
GENE_16052,0.480769
GENE_9574,0.480595
GENE_10799,0.480564
GENE_3909,0.480364
GENE_4395,0.480213
GENE_13876,0.480167
GENE_11603,0.479997
GENE_945,0.47989
GENE_17621,0.479291
GENE_6839,0.479191
GENE_1307,0.479094
GENE_8165,0.478879
GENE_8697,0.478316
GENE_3461,0.478165
GENE_16506,0.477769
GENE_5524,0.477709
GENE_7359,0.477694
GENE_5673,0.477583
GENE_14408,0.477409
GENE_3726,0.477243
GENE_3680,0.477145
GENE_691,0.477069
GENE_12238,0.476899
GENE_16465,0.476257
GENE_8417,0.475979
GENE_8868,0.475404
GENE_14250,0.475364
GENE_1303,0.475244
GENE_17261,0.474468
GENE_1547,0.47421
GENE_9869,0.474093
GENE_13505,0.473697
GENE_17558,0.473568
GENE_16366,0.473543
GENE_12018,0.473312
GENE_17254,0.473235
GENE_6535,0.47315
GENE_2087,0.47313
GENE_17607,0.472192
GENE_16009,0.472032
GENE_3082,0.471878
GENE_9344,0.471433
GENE_3993,0.471253
