gene,score
CG18095,0.414862
CG6446,0.497884
CG5661,0.280112
CG2221,0.52336
CG1762,0.579128
CG4977,0.573969
CG5820,0.746936
CG16974,0.494165
CG17667,0.386839
CG15658,0.458495
CG6890,0.528159
CG8930,0.500263
CG8595,0.578238
CG8896,0.361616
CG11136,0.625425
CG1804,0.754479
CG7896,0.487432
CG7702,0.517878
CG17319,0.531641
CG18249,0.590515
CG7800,0.50087
CG15151,0.454572
CG18480,0.75422
CG9431,0.473421
CG12283,0.567273
CG5096,0.44896
CG5528,0.665882
CG14351,0.719723
CG7398,0.24969
CG11282,0.369892
CG7250,0.594255
CG5819,0.459151
CG7121,0.598593
CG1511,0.564657
CG4926,0.454214
CG17348,0.495534
CG8250,0.417543
CG17559,0.532941
CG4007,0.538718
CG14396,0.583622
CG31867,0.601994
CG8742,0.721395
CG7904,0.537635
CG1891,0.621061
CG8224,0.5824
CG31183,0.59063
CG14026,0.674357
CG10776,0.479401
CG5227,0.662269
CG32019,0.49781
CG32796,0.677315
CG31806,0.591893
CG10446,0.533192
CG4838,0.516611
CG33141,0.332333
CG8967,0.414851
CG8964,0.667219
CG8581,0.632004
CG17716,0.563265
CG7449,0.52776
CG8434,0.475273
CG6490,0.460406
CG31190,0.386847
CG8222,0.459403
CG7166,0.538947
CG5423,0.589203
CG31774,0.605138
CG12676,0.579984
CG5803,0.560518
CG10975,0.484562
CG1634,0.574638
CG3665,0.714148
CG7223,0.528149
CG32134,0.670528
CG4125,0.503614
CG5308,0.537704
CG14064,0.380456
CG3624,0.419734
CG33515,0.760159
CG31431,0.597376
CG8779,0.59121
CG17839,0.313341
CG14948,0.562727
CG15744,0.525222
CG10946,0.395936
CG3653,0.293296
CG17800,0.691329
CG16857,0.51695
CG18243,0.579559
CG18402,0.501128
CG2507,0.627322
CG10702,0.539066
CG31738,0.569012
CG9211,0.590955
CG5481,0.435429
CG32387,0.69655
CG13521,0.590553
CG6899,0.587436
CG2005,0.62745
CG1817,0.557804
CG14226,0.487907
CG1389,0.553609
CG18734,0.627004
CG9163,0.548877
CG16876,0.565754
CG5912,0.496483
CG6124,0.549094
CG7050,0.53988
CG7649,0.596654
CG7381,0.696246
CG18146,0.655638
CG8942,0.373869
CG17610,0.596156
CG7565,0.689415
CG32179,0.579685
CG2086,0.583174
CG12086,0.552832
CG33087,0.77554
CG5634,0.612047
CG31094,0.406557
CG10275,0.551414
CG7466,0.551412
CG9138,0.521715
CG31665,0.455865
CG8909,0.39936
CG18679,0.388102
CG12139,0.776011
CG3936,0.628793
CG6383,0.560058
CG3619,0.723911
CG6127,0.280191
CG1372,0.431946
CG11101,0.25607
CG17941,0.639079
CG31009,0.927896
CG11059,0.688395
CG10421,0.440984
CG10244,0.582142
CG14900,0.657351
CG3389,0.580295
CG4509,0.763957
CG6445,0.466999
CG7749,0.663893
CG7100,0.585994
CG3722,0.458119
CG4637,0.591535
CG4568,0.294561
CG4467,0.444198
CG13827,0.30869
CG17379,0.321181
CG31225,0.227864
CG17382,0.289039
CG4370,0.446823
CG10175,0.298032
CG10170,0.323878
CG16732,0.346589
CG10168,0.346205
CG10152,0.338794
CG10182,0.434957
CG16723,0.324985
CG10183,0.200734
CG10367,0.243178
CG10221,0.432603
CG12492,0.232966
CG5857,0.206628
CG12268,0.255542
CG13603,0.189817
CG13605,0.141463
CG13607,0.318559
CG6178,0.264028
CG5677,0.453465
CG13610,0.425719
CG6331,0.622557
CG6364,0.145974
CG17785,0.305654
CG17784,0.169033
CG13613,0.24065
CG5610,0.22596
CG31128,0.392687
CG6844,0.269484
CG6798,0.4467
CG5789,0.106302
CG31312,0.261833
CG13626,0.325928
CG6668,0.0992
CG31127,0.304688
CG10693,0.19066
CG6863,0.254607
CG6868,0.234599
CG5807,0.167543
CG13636,0.493216
CG7005,0.18899
CG7012,0.285025
CG31105,0.52965
CG7016,0.251558
CG31121,0.182835
CG11069,0.09676
CG13646,0.01
CG11781,0.570645
CG11786,0.116826
CG7748,0.290731
CG13650,0.276523
CG13654,0.160449
CG13663,0.282739
CG31106,0.209987
CG31103,0.504455
CG11851,0.171055
CG10425,0.255894
CG31102,0.197193
CG10550,0.350961
CG4625,0.291844
CG31096,0.119728
CG4743,0.294192
CG4774,0.322601
CG17198,0.15517
CG17197,0.122927
CG17196,0.053177
CG17195,0.419824
CG4956,0.216406
CG6120,0.469385
CG17370,0.177807
CG5948,0.373974
CG31091,0.289507
CG31089,0.265107
CG31090,0.247118
CG8957,0.260051
CG8966,0.21001
CG33344,0.423831
CG8285,0.226893
CG14550,0.295106
CG31323,0.337231
CG12290,0.27416
CG33970,0.374022
CG6496,0.283136
CG14238,0.107339
CG14242,0.115265
CG5484,0.249143
CG31079,0.01
CG5490,0.225586
CG31072,0.986749
CG5507,0.390839
CG6323,0.377625
CG33083,0.352162
CG14253,0.122556
CG5811,0.217523
CG6070,0.241078
CG5880,0.22607
CG31065,0.341912
CG31068,0.352101
CG17991,0.327101
CG3373,0.350274
