Gene,Label
GENE_9491,1
GENE_10303,1
GENE_15048,1
GENE_10304,1
GENE_15049,1
GENE_17688,1
GENE_10302,1
GENE_17665,1
GENE_17662,1
GENE_17654,1
GENE_5495,1
GENE_17664,1
GENE_17549,1
GENE_14342,1
GENE_14917,1
GENE_17477,1
GENE_17626,1
GENE_17637,1
GENE_1699,1
GENE_17709,1
GENE_17693,1
GENE_11491,1
GENE_15083,1
GENE_7012,1
GENE_5497,1
GENE_5498,1
GENE_15805,1
GENE_17648,1
GENE_3140,1
GENE_14849,1
GENE_270,1
GENE_6962,1
GENE_17386,1
GENE_17310,1
GENE_17672,1
GENE_4872,1
GENE_5496,1
GENE_7583,1
GENE_17440,1
GENE_6048,1
GENE_17652,1
GENE_15059,1
GENE_17841,1
GENE_14964,1
GENE_12437,1
GENE_9089,1
GENE_17674,1
GENE_17632,1
GENE_3654,1
GENE_17437,1
GENE_12617,1
GENE_16300,1
GENE_14376,1
GENE_2025,1
GENE_4066,1
GENE_17669,1
GENE_1783,1
GENE_15413,1
GENE_9643,1
GENE_4344,1
GENE_2134,1
GENE_9860,1
GENE_3081,1
GENE_7956,1
GENE_5493,1
GENE_2492,1
GENE_5376,1
GENE_6374,1
GENE_15036,1
GENE_576,1
GENE_5357,1
GENE_5847,1
GENE_14979,1
GENE_17574,1
GENE_15757,1
GENE_9004,1
GENE_7939,1
GENE_2748,1
GENE_14245,1
GENE_9145,1
GENE_2733,1
GENE_13886,1
GENE_8073,1
GENE_5768,1
GENE_7427,1
GENE_6430,1
GENE_977,1
GENE_5680,1
GENE_11216,1
GENE_10106,1
GENE_3513,1
GENE_17609,1
GENE_8659,1
GENE_17363,1
GENE_7709,1
GENE_17719,1
GENE_734,1
GENE_14670,1
GENE_6246,1
GENE_8661,1
GENE_4415,1
GENE_11620,1
GENE_17598,1
GENE_17698,1
GENE_8193,1
GENE_17622,1
GENE_17553,1
GENE_7000,1
GENE_17595,1
GENE_10214,1
GENE_2213,1
GENE_4833,1
GENE_5255,1
GENE_16302,1
GENE_8383,1
GENE_235,1
GENE_12303,1
GENE_17454,1
GENE_7814,1
GENE_8501,1
GENE_12645,1
GENE_6386,1
GENE_2838,1
GENE_9158,1
GENE_4763,1
GENE_5893,1
GENE_3044,1
GENE_15573,1
GENE_14569,1
GENE_1264,1
GENE_14909,1
GENE_8714,1
GENE_7658,1
GENE_4865,1
GENE_1197,1
GENE_1787,1
GENE_2110,1
GENE_17712,1
GENE_6669,1
GENE_6892,1
GENE_8924,1
GENE_17619,1
GENE_875,1
GENE_17567,1
GENE_2810,1
GENE_8552,1
GENE_12819,1
GENE_1616,1
GENE_17528,1
GENE_8533,1
GENE_12190,1
GENE_1817,1
GENE_5826,1
GENE_9509,1
GENE_9189,1
GENE_3929,1
GENE_13388,1
GENE_4807,1
GENE_1385,1
GENE_770,1
GENE_11387,1
GENE_5936,1
GENE_7611,1
GENE_883,1
GENE_1657,1
GENE_17700,1
GENE_5333,1
GENE_5564,1
GENE_13515,1
GENE_5627,1
GENE_17713,1
GENE_9144,1
GENE_10682,1
GENE_7539,1
GENE_17289,1
GENE_1003,1
GENE_13809,1
GENE_2944,1
GENE_17573,1
GENE_12805,1
GENE_17426,1
GENE_3863,1
GENE_12841,1
GENE_9378,1
GENE_14466,1
GENE_11149,1
GENE_17485,1
GENE_6105,1
GENE_7157,1
GENE_17450,1
GENE_6243,1
GENE_17591,1
GENE_17630,1
GENE_10262,1
GENE_1445,1
GENE_6623,1
GENE_15255,1
GENE_4033,1
GENE_17583,1
GENE_16369,1
GENE_10804,1
GENE_15909,1
GENE_17347,1
GENE_129,1
GENE_9119,1
GENE_970,1
GENE_7999,1
GENE_13586,1
GENE_8899,1
GENE_13096,1
GENE_723,1
GENE_16080,1
GENE_2877,1
GENE_12603,1
GENE_7535,1
GENE_15008,1
GENE_13418,1
GENE_1311,1
GENE_7358,1
GENE_2771,1
GENE_12847,1
GENE_17571,1
GENE_8750,1
GENE_17292,1
GENE_2299,1
GENE_3249,1
GENE_16836,1
GENE_8266,1
GENE_1259,1
GENE_10610,1
GENE_17586,1
GENE_5536,1
GENE_16564,1
GENE_3457,1
GENE_5484,1
GENE_10606,1
GENE_2897,1
GENE_17592,1
GENE_5174,1
GENE_6674,1
GENE_15210,1
GENE_5739,1
GENE_17447,1
GENE_14025,1
GENE_8006,1
GENE_8320,1
GENE_8075,1
GENE_10390,1
GENE_13893,1
GENE_7943,1
GENE_7296,1
GENE_17580,1
GENE_2692,1
GENE_12237,1
GENE_17575,1
GENE_17714,1
GENE_4879,1
GENE_11412,1
GENE_4564,1
GENE_9612,1
GENE_8384,1
GENE_14798,1
GENE_5338,1
GENE_16763,1
GENE_6728,1
GENE_15187,1
GENE_12798,1
GENE_10405,1
GENE_17521,1
GENE_5592,1
GENE_10916,1
GENE_17638,1
GENE_3598,1
GENE_1429,1
GENE_8522,1
GENE_17107,1
GENE_283,1
GENE_15975,1
GENE_4067,1
GENE_16052,1
GENE_9574,1
GENE_10799,1
GENE_3909,1
GENE_4395,1
GENE_13876,1
GENE_11603,1
GENE_945,1
GENE_17621,1
GENE_6839,1
GENE_1307,1
GENE_8165,1
GENE_8697,1
GENE_3461,1
GENE_16506,1
GENE_5524,1
GENE_7359,1
GENE_5673,1
GENE_14408,1
GENE_3726,1
GENE_3680,1
GENE_691,1
GENE_12238,1
GENE_16465,1
GENE_8417,1
GENE_8868,1
GENE_14250,1
GENE_1303,1
GENE_17261,1
GENE_1547,1
GENE_9869,1
GENE_13505,1
GENE_17558,1
GENE_16366,1
GENE_12018,1
GENE_17254,1
GENE_6535,1
GENE_2087,1
GENE_17607,1
GENE_16009,1
GENE_3082,1
GENE_9344,1
GENE_3993,1
GENE_9136,1
GENE_1381,1
GENE_8818,1
GENE_9310,1
GENE_13711,1
GENE_17242,1
GENE_9037,1
GENE_14036,1
GENE_6651,1
GENE_17676,1
GENE_7292,1
GENE_4634,1
GENE_17404,1
GENE_9202,1
GENE_14422,1
GENE_142,1
GENE_9138,1
GENE_465,1
GENE_7837,1
GENE_9067,1
GENE_5537,1
GENE_14108,1
GENE_4312,1
GENE_6616,1
GENE_17312,1
GENE_12835,1
GENE_13425,1
GENE_10496,1
GENE_12119,1
GENE_1936,1
GENE_14844,1
GENE_4385,1
GENE_17483,1
GENE_14835,1
GENE_10836,1
GENE_3661,1
GENE_1576,1
GENE_1033,1
GENE_8342,1
GENE_8773,1
GENE_8628,1
GENE_1545,1
GENE_14539,1
GENE_10546,1
GENE_5109,1
GENE_460,1
GENE_16443,1
GENE_11744,1
GENE_9459,1
GENE_16274,1
GENE_7007,1
GENE_17695,1
GENE_1369,1
GENE_299,1
GENE_16532,1
GENE_7249,1
GENE_1157,1
GENE_7456,1
GENE_12358,1
GENE_359,1
GENE_17029,1
GENE_17685,1
GENE_12719,1
GENE_7846,1
GENE_3897,1
GENE_8252,1
GENE_409,1
GENE_319,1
GENE_7917,1
GENE_8845,1
GENE_14713,1
GENE_11556,1
GENE_11220,1
GENE_11760,1
GENE_17584,1
GENE_17299,1
GENE_8217,1
GENE_15495,1
GENE_14166,1
GENE_15696,1
GENE_6560,1
GENE_12973,1
GENE_17645,1
GENE_17234,1
GENE_2401,1
GENE_17594,1
GENE_8770,1
GENE_6361,1
GENE_4767,1
GENE_3841,1
GENE_4673,1
GENE_404,1
GENE_7689,1
GENE_2356,1
GENE_2776,1
GENE_1245,1
GENE_17606,1
GENE_16589,1
GENE_3591,1
GENE_6208,1
GENE_6061,1
GENE_8822,1
GENE_9036,1
GENE_1225,1
GENE_666,1
GENE_1145,1
GENE_4957,1
GENE_2100,1
GENE_17603,1
GENE_14810,1
GENE_5781,1
GENE_3833,1
GENE_7448,1
GENE_1806,1
GENE_1662,1
GENE_509,1
GENE_11351,1
GENE_7794,1
GENE_7033,1
GENE_1765,1
GENE_13921,1
GENE_2755,1
GENE_1589,1
GENE_15887,1
GENE_10011,1
GENE_8646,1
GENE_15330,1
GENE_10863,1
GENE_6558,1
GENE_3755,1
GENE_9262,1
GENE_16119,1
GENE_9662,1
GENE_3921,1
GENE_7722,1
GENE_3692,1
GENE_9824,1
GENE_17279,1
GENE_8406,1
GENE_5516,1
GENE_4111,1
GENE_4779,1
GENE_14403,1
GENE_17786,1
GENE_10612,1
GENE_9604,1
GENE_6117,1
GENE_17705,1
GENE_10025,1
GENE_17577,1
GENE_13371,1
GENE_17644,1
GENE_10396,1
GENE_2375,1
GENE_2361,1
GENE_5814,1
GENE_10951,1
GENE_7380,1
GENE_16269,1
GENE_13722,1
GENE_13449,1
GENE_4328,1
GENE_17495,1
GENE_10076,1
GENE_1555,1
GENE_2943,1
GENE_992,1
GENE_17620,1
GENE_10531,1
GENE_11820,1
GENE_1661,1
GENE_2211,1
GENE_10613,1
GENE_17678,1
GENE_17009,1
GENE_8636,1
GENE_13054,1
GENE_17778,1
