Gene,Score
1,0.299671
2,0.236174
5,0.314769
6,0.402303
7,0.226585
9,0.226586
10,0.407921
11,0.326743
12,0.203053
13,0.304256
14,0.203658
15,0.203427
16,0.274196
17,0.058672
18,0.077508
19,0.193771
20,0.148717
21,0.281425
22,0.159198
23,0.10877
24,0.396565
25,0.227422
26,0.256753
27,0.107525
28,0.195562
29,0.261092
30,0.134901
31,0.28757
33,0.189936
34,0.220831
35,0.189829
37,0.435228
38,0.24865
39,0.144229
40,0.332254
41,0.127916
42,0.270886
43,0.054033
44,0.117181
45,0.269686
47,0.323847
48,0.267137
49,0.238435
50,0.21989
51,0.102148
52,0.178016
53,0.203936
55,0.355712
57,0.284362
58,0.073696
60,0.282408
61,0.211492
63,0.182308
64,0.311168
65,0.3531
66,0.343128
67,0.166078
68,0.219079
69,0.283126
70,0.347555
71,0.202083
73,0.231434
74,0.139367
75,0.130379
76,0.331253
77,0.385624
78,0.242799
79,0.350353
80,0.286164
81,0.185488
82,0.28614
83,0.403804
84,0.246417
85,0.406464
86,0.01
87,0.33219
89,0.258705
90,0.220099
92,0.259176
93,0.051243
94,0.228033
95,0.285711
96,0.397789
97,0.198173
98,0.169151
99,0.199824
100,0.34154
101,0.282875
103,0.197024
104,0.301327
105,0.259708
106,0.346864
107,0.179795
108,0.217234
109,0.210789
111,0.103649
112,0.279612
113,0.276106
114,0.250511
115,0.226541
116,0.108463
117,0.207935
118,0.215729
119,0.169772
120,0.233871
121,0.290405
122,0.438619
123,0.267458
124,0.275755
125,0.242555
126,0.058123
127,0.247349
128,0.256023
129,0.496324
130,0.230764
132,0.280155
133,0.246529
134,0.133132
135,0.364282
136,0.325193
137,0.329103
138,0.159061
139,0.390279
140,0.109815
141,0.308686
142,0.469046
143,0.150946
144,0.19337
145,0.259965
146,0.199652
147,0.094934
148,0.256856
149,0.14377
150,0.297359
151,0.158058
152,0.404993
153,0.171675
154,0.217794
155,0.331352
156,0.126914
157,0.272746
158,0.380714
159,0.089252
160,0.268463
161,0.275988
163,0.328182
193,0.126305
196,0.117954
197,0.302194
198,0.279698
199,0.275049
200,0.284645
202,0.181998
203,0.273225
204,0.279307
205,0.178565
206,0.436577
207,0.297383
208,0.13087
209,0.315655
210,0.152532
211,0.328708
212,0.36586
213,0.167932
215,0.346338
217,0.291278
218,0.332206
219,0.439679
220,0.225461
221,0.174626
222,0.161049
224,0.168419
225,0.24229
226,0.284115
229,0.277669
230,0.332718
231,0.2513
232,0.395353
234,0.223534
235,0.522017
236,0.312567
237,0.164284
238,0.142911
240,0.298247
241,0.227654
242,0.3214
243,0.297324
244,0.242717
245,0.165321
246,0.098515
249,0.205349
250,0.33564
251,0.271409
252,0.125426
253,0.267318
254,0.288532
255,0.161614
256,0.265373
257,0.255821
259,0.135703
260,0.285779
261,0.306078
262,0.358305
