
===================prompt=====================


Human: You are a scientist working on problems in drug discovery.

Research Problem: I'm planning to run a genome-wide CRISPR screen to identify genes that regulate the production of Interferon-gamma (IFNG). There are 18,939 possible  genes to perturb and I can only perturb 64 genes at a time. For each perturbation, I'm able to measure out the log fold change in Interferon-gamma (IFNG) normalized read counts which will be referred to as the score. I can only do a few rounds of experimentation.
            

 All tested genes so far and their measured log fold change are: 
            Score
Gene             
IFNAR2   0.206712
CD80     0.251915
ICOS    -0.074485
GATA3    0.057780
SIRT1   -0.170305
HDAC3   -0.212310
IRAK4    0.015296
SETD2    0.184870
TLR4    -0.041558
HDAC1   -0.151240
EOMES   -0.086910
KAT2B    0.004416
IL15    -0.035326
IL21     0.139604
HDAC2   -0.231770
STAT4   -0.282660
IL12RB1 -0.034080
MYD88    0.054350
JAK2     0.132444
IRF7     0.178988
CD274   -0.043830
NFATC2   0.120780
IL2     -0.142710
FOXP3    0.145110
NFATC1   0.048841
IL18RAP -0.026802
RORC     0.158696
BCL6    -0.058293
CTLA4    0.015375
IL21R   -0.254815
KMT2D   -0.086387
IL18R1  -0.011445
TLR3     0.009555
IRF1    -0.029467
IL12RB2  0.050639
FOXO1    0.125509
IFNAR1   0.220668
IRF3    -0.237845
EZH2    -0.130098
CD86     0.191305
NFKB1    0.125557
IL2RB    0.253174
IL2RA    0.117304
IRAK1    0.084276
IL15RA   0.171787
RUNX3   -0.170597
STAT1   -0.023106
PDCD1    0.120335
KAT2A   -0.017050
FOXO3    0.003810
TANK    -0.016199
SOCS1    0.185722
SETD1B   0.125745
TRAF3    0.109792
DOT1L    0.030720
IL18     0.064003
SUV39H1 -0.251541
IL1B    -0.008130
TET2    -0.274905
RUNX1    0.075455
DNMT3A   0.125045
TCF7    -0.137402
TLR9     0.006275
CASP1   -0.064096
TLR7    -0.111682
TRAF5   -0.140703
TICAM1  -0.157511
SIRT3   -0.011461
NFKBIE   0.215400
IL33    -0.275055
STAT5B   0.010015
AIM2    -0.024550
SIRT2    0.248030
KAT8     0.050850
NLRP3   -0.065815
TICAM2   0.284736
PIAS1   -0.113202
DNMT3B  -0.027364
KMT2B    0.199654
BATF     0.068202
KMT2C    0.091675
PYCARD   0.093615
HDAC5   -0.030271
KAT6B   -0.111005
ZBTB16  -0.200320
SIRT6   -0.120375
TET1    -0.008700
TLR2     0.069760
ID2     -0.014265
DNMT1    0.371030
STAT6   -0.039385
SETD1A  -0.330720
HDAC4   -0.290907
TYK2    -0.084040
KAT6A   -0.112090
MAVS     0.264290
TBK1     0.013595
NFATC4  -0.135964
EHMT2   -0.124815
STAT5A   0.070219
 The results for the hits are: 
             Score
Gene              
SOCS3     0.536160
TBX21    -1.401000
IFNGR2   -0.975910
IKBKE     0.487890
IKBKB    -0.922680
KMT2A    -0.513335
LEF1     -0.405045
MAP3K7   -1.305750
IKBKG    -0.853900
NFKBIB    0.495810
