Gene,Score
white,0.7
yellow,1.0
Notch,0.9
Delta,1.0
wingless,0.9
hedgehog,1.0
engrailed,1.0
Act5C,1.0
tub,1.0
Rpl32,0.8
even-skipped,0.8
fushi-tarazu,0.9
giant,1.0
hunchback,0.9
white,0.9
yellow,0.8
Notch,0.7
Delta,0.9
wingless,0.9
hedgehog,1.0
engrailed,0.7
Act5C,1.0
tub,0.5
Rpl32,1.0
even-skipped,0.8
fushi-tarazu,0.8
giant,0.8
hunchback,1.0
white,0.7
yellow,1.0
Notch,0.7
Delta,1.0
wingless,0.9
hedgehog,0.8
engrailed,1.0
Act5C,0.7
tub,0.9
Rpl32,0.7
even-skipped,0.9
fushi-tarazu,0.7
giant,1.0
hunchback,0.9
